form	sense	year	origin	Loan
benzin	Benzin	1868.0		False
bér	Lohn,  Miete,  Knecht	1121.0		False
berbécs ×	Hammel,  Widder,  Rammklotz,  Lederschürze,  Lammfellmütze,  grober Mann,  Pekesche	1423.0		False
berbence ×	Fäßchen, Tönnchen,  Büchse, Dose	1422.0		False
berber	berberisch,  Berber	1842.0		False
berbitél ×	murmeln 〈Gebet, Zauberworte〉, plappern,  sich begatten,	1544.0		False
bérc	Berggipfel, 〈hoher felsiger〉Berg,  Spitze 〈eines Gegenstandes〉,  höherliegender steiniger, buschiger Ort	1135.0		False
berce ×	Jochscheide,  Rippe,  Stift zum Knüpfen von Fischnetzen,  Wagenschwengel	1816.0		False
berdó †	Postenruf	1605.0		False
berek	Ufer,  Hain,  Moor	1193.0		False
beretra †	Kopfbedeckung, bes Birett eines katholischen Priesters	1518.0		False
bergám †	Art Stoff	1503.0		False
berhe ×	Hose, Art Unterkleid,  Schürze,  Decke	1358.0		False
berill	Beryll	1395.0		False
berke ×	Weidenkätzchen,  Rute,  Kätzchen an einigen Bäumen,  Maisblüte	1559.0		False
berkenye ×	Eberesche,  Vogelbeere	1055.0		False
bérmál	firmen,  benennen,  prügeln, schlagen	1519.0		False
berreg	sich begatten 〈Schaf〉,  rattern, rasseln,  knurren, schnurren	1787.0		False
bervéng ×	Immergrün	1470.0		False
berzenkedik	wüten 〈Mensch〉, sich auflehnen,  unruhig sein,  zögern, sich grausen,  die Federn, die Haare sträubend wüten 〈Tier〉,  necken	1566.0		False
bese ×	Art Raubvogel,  Milan, Krähe	1138.0		False
besenyő	Petschenege,  petschenegisch	1138.0		False
beslia †	leichtbewaffneter türkischer Reiter	1552.0		False
beste ∆	Tier, wildes Raubtier,  〈als Schelt- od Schimpfw〉,  niederträchtig, schuftig	1490.0		False
bestia	Schurke 〈als Scheit- od Schimpfw〉,  unvernünftiges Wesen,  Tier, wildes Raubtier,  Hure,  selbstsüchtiges, grausames Weib,  niederträchtig, schmachvoll	1507.0		False
bestiális	niederträchtig, schmachvoll,  bestialisch	1769.0		False
beszéd	Rede,  Wort,  Märchen	1138.0		False
beszerika ×	griechisch-katholische od orthodox-rumänische Kirche,  buntbemaltes Haus	1645.0		False
beteg	Kranke,  krank,  erkranken,  krank sein,  Erkrankung	1372.0		False
betlehem	Weihnachtskrippe,  Krippenspiel,  Krippenspieler,  Krippenspiel vortragen	1801.0		False
beton	Beton	1865.0		False
csiga	Schnecke,  Rolle,  Folterseil,  Wirbelbein,  Kreisel,  Schneckennudeln,  〈haupts el- 〉quälen,  〈haupts fel-〉spannend machen,  schneckenförmig,  lockig	1272.0	uncertain	False
cafat	Schlamm, Kot am Kleide,  Lappen, Fetzen, Fleischfetzen,  Hure,  schlampig,  niederträchtig, nichtsnutzig	1831.0		False
cafatos	kotig,  zerrissen, zerlumpt	1831.0	derived word	False
cafka ×	Hure, Weib 〈pejor〉	1775.0	internal	False
cáfol	widerlegen,  widerrufen,  zurücktreten,  schimpfen, tadeln,  niedertreten 〈Gras, Saat〉,  herumschweifen, im Schlamm zotteln	1577.0	derived word	False
cafra ×	Hure,  Gesellschaft in einer Spinnstube	1790.0	derived word	False
cafrang	Art Haube,  Satteldecke, Pferdedecke, Hure,  herabhängendes Zierwerk, äußerlicher Aufputz,  Matsch, Quatsch	1380.0	derived word	False
cajg ×	milit Rüstung,  Art Hefe,  Art Kleiderstoff,  landwirtschaftliches Gerät,  Rauchgerät 〈Pfeife, Tabaksack usw〉	1608.0	loan	True
cakni ×	Zackenlitze, zackige Bordüre,  Haarwelle	1807.0		False
cakó ×	Storch	1394.0	derived word	False
cakompakk	mit völligem Marschgepäck, mit Sack und Pack, alles in allem,  vorbereitet, reisebereif,  jm alle Habseligkeiten,  Marschgepäck,  Art Speise, Gericht	1858.0		False
cammog	herumschleichen,  trotten	1588.0	derived word	False
canga ×	Weibchen des Schafes,  Schafherde ohne Lämmer,  liederliches Frauenzimmer,  Mastschwein,  〈Schaf〉 ohne LAmm, alt,  milchend,  unförmig,  unfruchtbar	1766.0	uncertain	False
cankó ×	Rest von Bier, Branntwein, Wein,  sauerer Wein	1784.0	unknown	False
cankózik ×	fortgehen,  herumstreichen,  trotten	1660.0	derived word	False
cáp ×	verschnittenes männliches Tier,  bock,  alter bärtiger Mann	1560.0	Romanian	True
capa †	Art Leder, Chargin,  granuliert getriebene Edelmetall-Oberfläche	1529.0	loan	True
cápa	Haifisch,  alter Matrose,  rücksichtsloser Ausbeuter	1794.0	internal	False
capistráng ×	Zapfenstreich	1787.0	loan	True
cappolódik ∆	im Schlamm waten	1615.0		False
cár	russischer Herrscher,  bulgarischer Monarch	1555.0	Wanderwort	True
cavira ×	Stute,  8– 9jähriges Mädchen,  leichtblütiges, lebhaftes junges Mädchen,  Hure	1626.0		False
cech	Rechnung	1614.0	loan	True
cécó	Zecherei,  Radau, Krawall,  Zeremonien, überflüssige Umständlichkeif	1722.0	unknown	False
céda	schelmisch, gefallsüchtig,  falsch,  frech,  liederlich 〈Frauenzimmer〉,  geringwertig 〈Kleidung〉,  unordentlich,  Hure	1566.0	unknown	False
cédrus	Zeder,  Platane,  Pechkiefer,  Akazie	1395.0	Latin	True
cédula	kleiner Zettel,  kurze Aufzeichnung 〈bes in bezug auf eine amtliche Angelegenheit〉	1517.0	Latin	True
cefet ×	Hure,  Kot, Matsch,  schlampig,  schmutzig, dreckig,  hunmiserabel,  tüchtig	1874.0	derived word	False
cefre ×	Hure,  Maische zum Schnapsbrennen,  	1792.0	derived word	False
cég	Firma,  Aushängeschild	1853.0	internal	False
cégér	zeichen,  Aushängeschild, Wirtshausschild,  Pranger,  Schande,  häßlich, ehrlos,  berüchtigt	1470.0	loan	True
céh	Zunft,  Trinkgesellschaft,  Versammlung	1466.0	loan	True
cejte ∆	in den Grund gesenkter großer Korb zum Verankern von Wassermühlen, Flößen, Wiede zum Festbinden derselben,  einfacher Landungssteg	1612.0	unknown	False
cékál ×	sich herumtreiben, herumschweifen	1649.0		False
cékláz ×	sich herumtreiben, herumschweifen	1784.0		False
cika ×	Fangspiel	1787.0	derived word	False
cekker	Einholtasche, Korb 〈bes aus Bast, Stroh geflochten〉	1816.0	loan	True
cékla	rote Rübe,  Rübe	1322.0	Slavic	True
cél	Wettbewerbsziel, Zielpunkt,  Symbol,  Grenze, Ende,  Bestimmung, Zweck,  Kampf,  Gegenstand, worauf sich eine Tätigkeit richtet,  Absicht,  zielen,  auf etw anspielen	1456.0	loan	True
celebrál	ein Urteil fällen, beschließen,  Messe lesen,  feierlich veranstalten,  feierlich ausgeben 〈Urkunde〉,  feiern	1592.0	Latin	True
celecula ×	Siebensachen, Zeug, Lumpenkram,  rappelig	1784.0	internal	False
cella	Mönchszelle,  Zelle 〈Biol〉,  zimmer,  Wabezelle,  Käfig,  Gefängniszelle	1372.0	Latin	True
cellulóz	Zellulose	1883.0	international word	True
celofán	Cellophan	1928.0	international word	True
cemende ×	geringwertig 〈Kleidung〉,  liederlich 〈Frauenzimmer〉,  bockig,  Hure,  Kram	1751.0	unknown	False
cement¹ †	Pulver zur Läuterung der Metalle 〈haupts Gold〉,  Werkstatt für Goldreinigung,  reinigen, läutern 〈von Gold〉	1550.0	German	True
cement²	Mörtel, Bewurf,  Zement,  Zement für Zahnfüllungen	1778.0	German	True
cementíroz ∆	zementieren, härten 〈Gold, Stahl〉	1818.0		False
celofán	Cellophan	1928.0		False
cemende ×	geringwertig 〈Kleidung〉,  liederlich 〈Frauenzimmer〉,  bockig,  Hure,  Kram	1751.0		False
cement¹ †	Pulver zur Läuterung der Metalle 〈haupts Gold〉,  Werkstatt für Goldreinigung,  reinigen, läutern 〈von Gold〉	1550.0		False
cement²	Mörtel, Bewurf,  Zement,  Zement für Zahnfüllungen	1778.0		False
cementíroz ∆	zementieren, härten 〈Gold, Stahl〉	1818.0		False
cendely †	Art Seidenstoff	1395.0	loan	True
cenk ∆	hund,  Stalljunge 〈bes beim Milit〉, junger Söldner,  Knabe, bengel,  Schuft,  Rekrut,  schuftig,  jung	1138.0	unknown	False
centi	Zentimeter 〈als Maßeinheit〉,  Maßband,  Zentimeter 〈als Maßheit〉	1876.0	internal	False
centrális	zentral,  Durchmesser	1757.0		False
centrifuga	zentrifugal,  Zentrifuga	1831.0		False
centrifugális	zentrifugal,  geschlossen 〈Blütenstand〉	1865.0	international word	True
centrum	Mittelpunkt,  Mittelteil,  Mittelpartei,  Zentrale, Innenstadt	1653.0	Latin	True
cenzúra	Prüfung,  Meinung,  Bücher-, Pressezensur,  Amt des Zensors,  Gericht	1586.0		False
ceremónia	Ritus, Zeremonie,  Formalität, überflüssige Umständlichkeif,  Gepflogenheit	1416.0	Latin	True
cerkó ×	prawoslawische Kirche, griechisch-katholische Kirche,  Haus,  Hütte, Schuppen,  jüdischer Tempel	1641.0	loan	True
cerkófmajom	Meerkatze,	1897.0	compound	False
cérna	Zwirn,  Logleine	1413.0	loan	True
ceruza	Bleistift	1771.0	Latin	True
cet	Wal	1395.0	Latin	True
cetli	Zettel	1722.0	loan	True
cézár	römischer Kaiser,  Tyrann	1802.0	Latin	True
cián	Blausäure,  Zyangas	1865.0	German	True
cibak¹ ×	Haken,  hölzernes Band am Brunnenschwengel, Gelenknagel,  Pflock	1636.0	loan	True
cibak² ∆	Zwieback,  Kommißbrot	1770.0	German	True
cibál	zausen, zerren	1615.0	derived word	False
cibere ×	Art sauere Suppe,  Art sauere Soße,  schelmisches Mädchen, Hure,  dünnes Pflaumenmus	1475.0	uncertain	False
cibetmacska	Zibetkatze	1796.0	German	True
cibóka ×	Eichhörnchen	1662.0	derived word	False
cic	〈Lockruf für Katzen〉	1745.0	onomatopoetic	False
cica	Katze, Kätzchen,  Blütenkätzchen,  die Geliebte,  Fangspiel,  Zopf,  Fänger 〈beim Fangspiel〉,  sich unruhig benehmen,  schäkern,  Fangspiel spielen	1639.0	derived word	False
cicerél ×	bespringen 〈der Hahn die Henne〉, sich begatten	1829.0	internal	False
cici	Brustwarze, weibliche Brust	1838.0	onomatopoetic	False
cickány	Spitzmaus 	1800.0	German	True
cicomáz	aufputzen, verzieren	1628.0		False
cidri	kalt,  Frösteln, Gezitter,  kaltes Wetter, Frost	1908.0		False
cidrizik	zittern 〈vor Kälte od Angst〉	1924.0	loan	True
cifra	verziert,  floskelhaft 〈Reden〉,  unzüchtig, buhlerisch,  glänzend 〈Elend〉,  b u n t 〈Tier〉,  aufgeputzt,  sonderbar,  Schmuck,  Pracht, Putz,  Ornamentierung,  Null, Zahlzeichen,  Chiffre,  Hure,  Verzierung 〈in der Musik〉,  Zeichnung	1518.0	Latin	True
cigája ×	Wolle des Zygayaschafs,  Zygayaschaf	1765.0	Romanian	True
cigány	Zigeuner,  arglistiger Mensch,  Schmied,  Zigeunermusikant,  hinterlistig, betrügerisch,  zigeunerisch, Zigeuner-,  unecht, unrecht, gering,  feilschen,  stehlen,  betrügen, lügen,  Zigeuner nennen,  schlecht	1370.0	Slavic	True
cigaretta	Zigarette	1856.0	German	True
cre ×	Art Stöckchen als Spielzeug,  Kinderpenis	1767.0	unknown	False
cigle ×	Uferweide, Korbweide	1275.0	uncertain	False
ciha ×	Bettbezug, Inlett	1752.0	loan	True
ciher ×	Buschwald, Gebüsch,  dürres Laub,  Reisig	1734.0	unknown	False
cihog ×	kichern,  schreiend spielen	1528.0		False
cihődik ×	sich langsam aufrappeln, etw langsam ausführen, tun	1560.0		False
cihelődik	sich unruhig benehmen,  sich langsam aufrappeln, etw langsam ausführen, tun	1650.0		False
cika¹ ×	Schwein, Ferkel	1577.0		False
cika²	Grummet,  zarter Trieb an der Pflanze,  Keim,  Salatstrunk, Weißkohlstrunk,  eingesäuerter Weißkohlkopf bzw dieser als Speise zubereitet	1681.0		False
cikcakk	Zickzack	1778.0	German	True
cikény †	alte venezianische Goldmünze	1637.0	loan	True
ciki	unangenehm, peinlich,  unangenehm, peinlich,  peinlich	1965.0	paronymy	False
cikkely ∆	gekennzeichneter, meistens numerierter Textabschnitt, Paragraph, Absatz,  Glied,  Rockzipfel,  Teil, Abschnitt,  runde Fensterscheibe,  Silbe,  Stück Acker od Garten,  Minute,  Periode,  Warenartikel,  Obstschnitt,  Schulterstück des Hemdes	1528.0		False
ciklámen	Zyklamen 	1877.0	international word	True
ciklon	Wirbelsturm,  Zyklone,  Fliehkraftabscheider	1893.0	international word	True
ciklus	Periode,  Serie,  Teil, Abschnitt,  Sitzungsperiode,  Wechselstromperiode	1592.0		False
cikória	Endivie,  Zichorie,  Wurzelstock zur Herstellung von Kaffee-Ersatz,  Kaffee-Ersatz	1544.0		False
cikornya	Schnörkel,  geschnörkelt,  schnörkelig, geschweift	1565.0	paronymy	False
cilinder	Walze, walzenförmiges Gerät,  Flasche,  Zylinderhut,  Schornstein,  Lampenglas 〈von Petroleumlampen〉,  Zylinder 〈Maschinenteil〉	1792.0	German	True
cím	Titel,  Buchtitel,  Abzeichen, Wappen,  Briefanschrift,  Vorwand,  per Adresse	1780.0	internal	False
cimbalom	tschinellenartiges Instrument,  Hackbrett 〈Musikinstrument〉	1416.0	Latin	True
cimbora	an Gemeinarbeit teilnehmender armer Bauer,  Vereinigung, Zusammenschluß,  Geselle, Kumpan, Spießgeselle,  Gemeinarbeit,  Kind, das Ochsen führt,  einer der gelegentlich zusammengespannten Ochsen	1509.0	Romanian	True
címer¹	Wappen, Schild,  Helmbusch,  Inschrift,  Schopf, Federbusch, Kamm,  Symbol,  Kennzeichen,  Aushängeschild,  aufwärts gerichtete, große Hörner des Viehs, Geweih,  Rispe, Ähre 〈vom Schilf, Mais, Reis〉,  Schmuck,  Charakter, Eigenschaff,  schönstes Stück einer Herde,  hervorragend,  Inschrift	1326.0	Wanderwort	True
címer² †	Bündel von Hermelin-, Marder- und anderen Fellen	1494.0	loan	True
címer³ ×	Lamm- od Kalbsviertel,  Vorderbug od Schulter vom Vieh od Wild,  Schlegel vom Vieh od Wild,  Rückenstück des Rehes	1544.0		False
cimpa	Nasenflügel,  Ohrläppchen,  fleischiger Teil irgendeines Körperteils,  stumpfnasig, mit verstümmelter Nase,	1288.0	unknown	False
cin	Zinn,  Zinngeschirr	1644.0	loan	True
cinadof †	Art feine Leinwand	1530.0	Italian	True
cinadónia ×	Schöllkraut,  Wolfsmilch	1533.0		False
cincál	schopfbeuteln, herumzerren	1763.0	derived word	False
cincár ∆	Mazedorumäne,  Schafhändler, -metzger,  Schlächter ohne Gewerbebefugnis, Hausschlächter,  Bäcker,  Makler,  Wanderzigeuner	1784.0	Croatian or Serbian	True
cincér	Bockkäfer 	1845.0	internal	False
cincog	piepsen 〈haupts Maus〉,  auf der Geige kratzen, die Geige kratzt,	1593.0	onomatopoetic	False
cineg ∆	auf der Geige kratzen, die Geige kratzt,  piepsen 〈versch kleine Tiere〉	1761.0	onomatopoetic	False
cinege	Meise 	1300.0	derived word	False
cingár	schmächtig, mager	1790.0	unknown	False
cinikus	zur Schule der Kyniker gehörig,  zynisch,  Kyniker	1604.0		False
cink	Zink	1777.0	German	True
cinke	Meise	1345.0	onomatopoetic	False
cinkos	Gaukler, Betrüger,  Spießgeselle,  Lump, Gauner,  spieler,  Würfel	1342.0	internal	False
cinóber	Zinnober,  Zinnoberfarbstoff,  zinnoberrot	1621.0	Wanderwort	True
cintányér	Schlagbecken	1887.0	compound	False
cinterem ×	 Friedhof,  Hof der Kirche, Vorkirche,  Kirchenburg,  Gruft,  Rittersaal eines Schlosses	1372.0	Latin	True
cipekedik	sich mit etw schleppen,  sich abmühen,  sich klammern	1792.0		False
cipellős ∆	Art Fußbekleidung, Schuh	1380.0		False
cipó	Brotlaib,  kugelförmiges Gemisch,  Buckel,  ungeplatztes Maiskorn,  Entück des Brotes	1211.0	uncertain	False
cipő	Schuh	1577.0		False
ciprus	Zypresse,  〈als Benennung versch gras- und strauchartiger Pflanzen〉	1508.0	Latin	True
cipszer ∆	Zipser,  Branntweinschenker einer Gemeinde	1479.0	German	True
cipzár	Reißverschluß	1930.0	compound	False
ciráda	Schnörkel	1695.0	German	True
cirbolya	Zirbelbaum 	1793.0	German	True
cirfandli	Art Wein, Silvaner	1780.0	loan	True
ciripel	zirpen,  zwitschern	1820.0	paronymy	False
cirka	ungefähr	1698.0	Latin	True
cirkál	patrouillieren,  untersuchen, erforschen,  spionieren,  streunen,  Wächter,  Kreuzer 〈Kriegsschiff〉	1479.0	Latin	True
cirkalom ×	Reifen,  Zirkel 〈Gerät〉,  Rennbahn,  Kreis,  auszirkeln	1528.0		False
cirkulál	kursieren, in Verkehr sein,  zirkulieren 〈Blut〉,  die Runde machen,  umgeben,  umlaufen	1706.0	Latin	True
cirkusz	Rennbahn in Rom für Pferde- und Wagenrennen,  Zirkus,  Skandalszene,  Radau machen	1769.0	Latin	True
cirmol ×	schimpfen	1698.0		False
cirok	〈als Benennung versch Futterpflanzen, haupts der Hirse, des Dinkels usw〉,  Mohrenhirse 	1465.0	Croatian or Serbian	True
cirókál ×	streicheln, liebkosen	1702.0		False
ciszterci ∆	Zisterzienser-	1760.0		False
ciszterna	Wassersammelbecken	1792.0	Latin	True
citadella ∆	Zitadelle	1680.0	Wanderwort	True
citál	wörtlich anführen,  vorladen	1580.0	Latin	True
citera	Zither	1230.0	Latin	True
citrom	Zitrone,  Salbe,  Roßapfel	1538.0	Latin	True
citvar ∆	Zitwer,  gegen Madenwürmer als Abtreibemittel gebrauchter Zucker für Kinder	1490.0	loan	True
civakodik	zanken	1662.0		False
civil	zivil,  Zivilist,  Zivilkleidung	1816.0	German	True
civilizál	zivilisieren	1771.0		False
cívis ∆	Stadtbürger,  Bürger 〈bes aus Debrecen〉	1589.0	Latin	True
cizellíroz ∆	ziselieren	1844.0		False
co ×	〈Lockruf-Treibew für versch Tiere〉,  packt euch!, raus mit euch!	1558.0	onomatopoetic	False
coboly	Edelmarder, Zobel,  Zobelpelz	1763.0	Wanderwort	True
cókmók	Kram, Siebensachen	1704.0	internal	False
cokol ∆	Holzschuh	1538.0		False
col ∆	Zoll 〈als Längenmaß〉	1704.0	German	True
colstok	Zollstock	1833.0	German	True
comb	Schenkel	1407.0	unknown	False
compó ×	Schleie 	1211.0	uncertain	False
condra ×	Lappen, Fetzen,  Flaus, Rock daraus,  Hure,  Vettel, Hexe,  zerlumpter Kerl,  Abfall,  schuftig,  zerlumpt,  unordentlich,  zottig,  übermütig	1425.0		False
copf	Zopf, Haarersatzstück,  veralteter Brauch, rückständige Denkart,  rückständiger Alter, alter Mann von Ansehen	1769.0	German	True
cölönk ×	Knüttel,  Pfahl, Baumstumpf,  Klotz,  herabhängendes Zierwerk,  Götterbild,  nichtswürdiger Mensch	1508.0	unknown	False
cölöp	Pfosten, Pfahl,  Klotz, Holzblock,	1590.0	Slavic	True
cövek	Holzstäblein 〈als Zeichen der Aufforderung zum Zweikampf〉,  hölzerner Schuhnagel,  Pfahl,  Pfosten	1346.0	loan	True
cubák ×	Schenkel, Keule,  Bärenbrante,  Zuwaage, flechsiges Schienbein, flechsiges Fleisch	1630.0	derived word	False
cúca ×	Lanze,  Spitze,  Schnürnadel,  zugespitzter Stab, Spieß usw	1388.0	Slavic	True
cucc	Kram, Siebensachen	1956.0	uncertain	False
cucli	Schnuller	1796.0	loan	True
cudar	schuftig,  zerfetzt, elend,  sehr unangenehm, beinahe unerträglich schlecht 〈Zustand, Umstand〉,  Fetzen,  Schuft,  Hure	1348.0	uncertain	False
cúg	Zuggespann,  Zug 〈milit Abteilung〉,  Leeren des Glases auf einen Zug bzw die Fähigkeit dazu,  Gummizwickel von Zugstiefeletten,  Zug,  Art Aufzug,  Zug- 〈Schuh〉,  zugig	1732.0	German	True
cugehőr	Zubehör	1942.0		False
cujka ×	Art  Branntwein	1845.0	Romanian	True
cukor	Zucker,  rote Rübe	1546.0		False
cula ×	Lumpenzeug,  Bündel, kleiner Sack,  Hure,  schmutzige Wäsche,  nach dem Aufmandeln zusammengeharktes Getreide,  hochaufgeschossene Göre	1480.0	unknown	False
culák ×	Pfahl, Pilote,  Säule,  mehrarmiger Pfosten	1395.0	derived word	False
cumi	Saugbeutel od Schnuller	1907.0	uncertain	False
cuppant	〈einen Kuß〉 schmatzen,  quatschen, platschen	1652.0		False
curukk ×	zurück!	1600.0	loan	True
cvekedli	Fleckerl 〈Teig〉	1891.0	loan	True
cvikipuszi ∆	Kuß mit Kniff in die Wangen	1870.0		False
cvikker ∆	Kneifer	1860.0	German	True
cvikli ×	Zwickel,  bedrängte Lage	1825.0	loan	True
csá ×	hott bzw hü,  ein Tier treiben, leiten,  mit einer Kurve od Kehre,  rechts, links	1579.0	onomatopoetic	False
csabaíre	Arten versch Heilkräuter 〈bes der Geschlechter Pimpinella und Sanguisorba〉 	1500.0	compound	False
csabak ×	Art Weißfisch	1419.0	Turkic	True
csábít	verführen,  betäuben, den Verstand verwirren,  stark anziehen	1540.0		False
csacsi	Esel, Eseljunges,  Dummerchen,	1791.0	derived word	False
csacska	oberflächlich, leichtfertig, töricht,  schwatzhaft	1723.0	onomatopoetic	False
csacsog	schwatzen, plaudern,  zwitschern	1456.0	onomatopoetic	False
csádé ×	Gebüsch,  Art Schilfgras,  Gekräut, Unkraut,  Gezweig eines abgehauenen Baumes,  abgefallene Baumblätter,  Grünmais	1611.0	unknown	False
cságató ×	Kehrrahm 〈Teil des Pfluges〉,  Ziehstange	1781.0	derived word	False
csahol	kläffen,  schwatzen, plappern	1570.0		False
csahog ×	kläffen	1767.0		False
csaj	Schickse,  Hure	1900.0	Romani	True
csaja ×	Maikäfer,  Art Obst- und Rebenkäfer,  Rebenschneider, Zwiebelhornkäfer	1416.0		False
csája ∆	Tee,  Punsch,	1825.0		False
csajbók ×	halbwitzig,  krummbeinig,  schlaksig, unbeholfen,  halbwitzig, rappelig,  ungeschickt	1795.0	internal	False
csajka	Schale, Tasse,   Eßschale	1792.0	Slovakian	True
